D,SR: scarce,CR: Scarce,CR: Abundant,CR: Relative Velocity (N = 21),Reaction distance (N = 39),Handling time (N = 78),Resource mass (N = 225),Resource density (N = 225)
2D,0.68 ± 0.12* (0.63),0.85 ± 0.05 (0.78),0.85 ± (0.78),0.26 ± 0.04* (0.27),0.21 ± 0.08 (0.33),-1.02 ± 0.08 (-0.75),0.73 ± 0.10,-0.79 ± 0.08
3D,1.05 ± 0.08* (1.03),1.06 ± 0.06 (1.16),1.00 ± 0.06 (1.16),0.26 ± 0.04* (0.27),0.20 ± 0.06 (0.33),-1.1 ± 0.07 (-0.75),0.92 ± 0.08,-0.86 ± 0.07
